,StationID,Longitude,Latitude,Height,Remark
12760,8576250,8.478000999999999,47.443913,442,"Watt, Schulhaus"
12761,8576251,8.477779,47.447477,442,"Watt, Laubisser"
12762,8576252,8.471086,47.449011999999996,460,"Watt, Haldensteig"
12763,8576253,8.466469,47.448161999999996,440,"Adlikon b. R., Dorf"
12771,8576262,8.506464,47.419222999999995,408,"Zürich, Zehntenhausplatz"
12772,8576263,8.501311,47.421367,408,"Zürich, Hungerbergstrasse"
12773,8576264,8.473246000000001,47.427756,600,"Regensdorf, Chrüzächer"
12774,8576265,8.468333,47.43352,440,"Regensdorf, Gemeindehaus"
12775,8576269,8.464728,47.438355,600,"Regensdorf, Dreispitz"
12776,8576270,8.461212,47.437505,600,"Regensdorf, Sportanlage Wisa."
12781,8576275,8.460944999999999,47.43122,600,"Regensdorf, Holenbach"
12784,8576278,8.466689,47.444491,440,"Regensdorf, Furtbächli"
12785,8576279,8.465905000000001,47.44161,600,"Regensdorf, Hardhölzli"
12786,8576280,8.47054,47.437944,600,"Regensdorf, Althard"
13151,8576699,8.477889999999999,47.332915,562,"Wettswil a.A., Schürli"
13190,8576743,8.480074,47.329567,562,"Wettswil a.A., Beerimoos"
15380,8579434,8.474542999999999,47.337713,562,"Wettswil a.A., Dettenbühl"
15384,8579440,8.478705999999999,47.334077,562,"Wettswil a.A., Chilenholzstr."
15385,8579442,8.47785,47.337683,590,"Wettswil a.A., Oberhusen"
15386,8579443,8.474715,47.33978,562,"Wettswil a.A., Eggächer"
15396,8579453,8.474089999999999,47.341675,562,"Wettswil a.A., Heissächerstr."
15414,8579472,8.472257,47.342681,562,"Wettswil a.A., Strumbergächer"
15436,8579495,8.47069,47.343773999999996,562,"Wettswil a.A., Rehweid"
15438,8579497,8.468966,47.34361,562,"Wettswil a.A., Langächer"
15681,8579843,8.577100999999999,47.461959,447,"Kloten, Sporthalle Ruebisbach"
15803,8579991,8.473391000000001,47.312447,590,"Bonstetten, Sunnenberg"
15804,8579994,8.474755,47.335012,550,"Wettswil a.A., Moosstrasse"
16023,8580301,8.565657,47.452653000000005,447,"Zürich Flughafen, OPC"
16120,8580432,8.578426,47.443911,447,"Kloten, Bramen"
16121,8580433,8.596478999999999,47.450936999999996,447,"Kloten, Graswinkel"
16122,8580434,8.587144,47.452244,447,"Kloten, Lindenstrasse"
16123,8580435,8.591925,47.450109999999995,447,"Kloten, Mühle"
16124,8580437,8.591028999999999,47.451567,447,"Kloten, Säntisstrasse"
16125,8580438,8.593261,47.453623,447,"Kloten, Wohnheim"
16129,8580443,8.568918,47.436377,427,"Glattbrugg, Riethofstrasse"
16134,8580448,8.535956,47.453551000000004,430,"Rümlang, Rumilobrücke"
16135,8580449,8.544789999999999,47.411496,408,"Zürich Oerlikon, Bahnhof"
16188,8580522,8.522397999999999,47.390795000000004,408,"Zürich, Escher-Wyss-Platz"
16201,8580536,8.573718,47.430842999999996,427,"Opfikon, Schulstrasse"
16459,8580912,8.501841,47.368903,435,"Zürich, Schaufelbergerstrasse"
16580,8581059,8.485294,47.339415,550,"Stallikon, Loomatt"
17012,8581666,8.455791,47.3189,550,"Bonstetten, Lätten"
17246,8581967,8.473424000000001,47.327783000000004,530,"Wettswil a.A., Schachenbach"
17759,8582752,8.445963,47.356072999999995,473,"Birmensdorf ZH, Weissenbrunnen"
18016,8583053,8.490171,47.323629,555,"Stallikon, Langfuren"
18073,8583214,8.429411,47.365724,472,"Birmensdorf ZH, Ristet"
18420,8583613,8.459632000000001,47.362744,560,"Waldegg, Leuen"
18534,8583731,8.461096000000001,47.352783,491,"Birmensdorf ZH, Landikon Dorf"
18551,8583755,8.436334,47.334523,555,"Aesch ZH, Heligenmattstrasse"
18589,8583805,8.462366000000001,47.316872,536,"Bonstetten, Dorfstrasse"
18647,8583870,8.437009,47.357176,475,"Birmensdorf ZH, Bahnhof Süd"
18924,8587347,8.536019,47.342731,415,"Zürich, Rote Fabrik"
18925,8587348,8.539338,47.377241,408,"Zürich, Bahnhofplatz/HB"
18926,8587349,8.541742,47.377559999999995,408,"Zürich, Bahnhofquai/HB"
18971,8587420,8.583891,47.448966,447,"Kloten, Bahnhof"
19153,8587651,8.595545,47.409209000000004,430,"Wallisellen, Glatt (Bus)"
19154,8587652,8.591002,47.405629,427,"Zürich, Altried"
19155,8587653,8.623636999999999,47.399731,440,"Dübendorf, Bahnhof"
19156,8587654,8.567632000000001,47.434509000000006,427,"Glattbrugg, Glatthof"
19157,8587655,8.592533999999999,47.41272,431,"Wallisellen, Bahnhof"
19250,8587799,8.568605,47.441615000000006,431,"Kloten Balsberg, Bahnhof"
19395,8587964,8.594764,47.307291,435,"Erlenbach ZH, Alterswohnheim"
19396,8587965,8.591241,47.305815,420,"Erlenbach ZH, Bahnhof"
19397,8587966,8.591342,47.30379,415,"Erlenbach ZH, Bahnhofstrasse"
19399,8587968,8.609034,47.307876,590,"Erlenbach ZH, Chapf"
19400,8587969,8.602393,47.306,530,"Erlenbach ZH, Erlenhöhe"
19401,8587970,8.607852000000001,47.307088,575,"Erlenbach ZH, Föhrenstrasse"
19402,8587971,8.593628,47.304919,430,"Erlenbach ZH, Im Loo"
19404,8587973,8.596635000000001,47.305779,470,"Erlenbach ZH, Im Vogelsang"
19405,8587974,8.593316999999999,47.30279,420,"Erlenbach ZH,Kirchgemeindehaus"
19407,8587976,8.597324,47.307626,490,"Erlenbach ZH, Rankstrasse"
19408,8587977,8.60219,47.299121,470,"Erlenbach ZH, Rebstrasse"
19409,8587978,8.600106,47.307256,520,"Erlenbach ZH, Sandfelsenstr."
19410,8587979,8.597897,47.302357,450,"Erlenbach ZH, Schulhaus"
19411,8587980,8.613502,47.307183,611,"Erlenbach ZH, Schützenhaus"
19505,8588078,8.543938,47.376846,408,"Zürich, Central"
19520,8588096,8.67298,47.381098,460,"Volketswil, Hofwisen"
19603,8588205,8.605336,47.306303,550,"Erlenbach ZH, Allmend"
19683,8588313,8.640531,47.430914,458,Baltenswil
19684,8588314,8.619087,47.420359000000005,448,"Dietlikon, Bahnhof"
19685,8588315,8.606771,47.447388000000004,450,"Kloten, Grindel"
19686,8588316,8.629366000000001,47.441464,455,"Bassersdorf, Dietlikonerstr."
19687,8588317,8.63574,47.438925,455,"Bassersdorf, Bächli"
19688,8588318,8.634848,47.425819,450,"Brüttisellen, Ob. Wangenstr."
19689,8588319,8.630695,47.423846999999995,447,"Brüttisellen, Zentrum"
19879,8588553,8.572058,47.452492,435,"Zürich Flughafen, Fracht"
20035,8588736,8.587161,47.454834999999996,447,"Kloten, Ackerstrasse"
20036,8588737,8.591550999999999,47.454871999999995,447,"Kloten, Geissbergstrasse"
20037,8588738,8.589925,47.455715999999995,447,"Kloten, Härdlen"
20038,8588739,8.575892,47.445096,447,"Kloten, Lägernstrasse"
20039,8588740,8.578750999999999,47.444879,447,"Kloten, Neubrunnenstrasse"
20040,8588742,8.587556,47.417266999999995,431,"Wallisellen, Bodenackerstrasse"
20041,8588743,8.588757000000001,47.419495,431,"Wallisellen, Frohheimstrasse"
20042,8588744,8.585533,47.416856,431,"Wallisellen, Kaserne"
20043,8588745,8.581944,47.418807,431,"Wallisellen, Steinacker"
20365,8589106,8.67232,47.38518,460,"Volketswil, Zimikon"
21488,8590318,8.479171000000001,47.391129,399,"Zürich, Farbhof"
21620,8590461,8.470044999999999,47.4459,436,"Adlikon b. R., Pächterried"
21622,8590463,8.533806,47.313598,457,"Adliswil, Badstrasse"
21623,8590464,8.524312,47.311780999999996,451,"Adliswil, Bahnhof"
21624,8590465,8.525617,47.309601,450,"Adliswil, Baumgartenweg"
21625,8590466,8.517739,47.316403,496,"Adliswil, Bodenacker"
21626,8590467,8.522098,47.301106,496,"Adliswil, Büchel"
21627,8590468,8.533686,47.320004,475,"Adliswil, Eichenweg"
21628,8590469,8.519079,47.314628000000006,493,"Adliswil, Feldblumenstrasse"
21629,8590470,8.529635,47.306882,502,"Adliswil, Friedhof"
21630,8590471,8.515592,47.320786,487,"Adliswil, Baldernstrasse"
21631,8590472,8.528927000000001,47.322117999999996,467,"Adliswil, Grüt"
21632,8590473,8.535769,47.315135999999995,475,"Adliswil, Hofackerstrasse"
21633,8590474,8.527645,47.313081,449,"Adliswil, Krone"
21634,8590475,8.522263,47.303345,487,"Adliswil, Landolt-Junker-Str."
21635,8590476,8.534389,47.318791999999995,479,"Adliswil, Ahornweg"
21636,8590477,8.531046,47.325453,471,"Adliswil, Moos"
21637,8590478,8.525201,47.313203,448,"Adliswil, Poststrasse"
21638,8590479,8.516353,47.31916,488,"Adliswil, Zopf"
21639,8590480,8.531827,47.309946999999994,480,"Adliswil, Rifertstrasse"
21640,8590481,8.532202999999999,47.30702,509,"Adliswil, Rütistrasse/Wacht"
21641,8590482,8.534448,47.308797999999996,494,"Adliswil, Schulhaus Kopfholz"
21642,8590484,8.530018,47.316567,447,"Adliswil, Tiefacker"
21643,8590485,8.528478,47.309196,479,"Adliswil, Tobelhof"
21644,8590486,8.522473,47.305915,473,"Adliswil, Wanneten-/Haldenstr."
21645,8590487,8.654729,47.330566999999995,628,"Aesch bei Maur, Im Brünneli"
21661,8590503,8.624624,47.444625,458,"Bassersdorf, Chlupfgasse"
21662,8590504,8.633608,47.361084000000005,571,"Benglen, Gerlisbrunnen"
21663,8590505,8.625153,47.358931,632,"Binz bei Maur, Fridlimatt"
21665,8590507,8.629667,47.421708,444,"Brüttisellen, Gsellhof"
21666,8590508,8.631364999999999,47.418812,443,"Brüttisellen, Haldenbrücke"
21667,8590510,8.59605,47.404383,429,"Dübendorf, Sport Heerenschürli"
21668,8590512,8.417392,47.397578,391,"Dietikon, Birmensdorferstrasse"
21680,8590526,8.424657,47.397175,395,"Dietikon, Schönenwerd"
21689,8590538,8.621433999999999,47.412068,442,"Dietlikon, Aegert"
21690,8590539,8.620805,47.42196,439,"Dietlikon, Bahnhof/Bad"
21691,8590540,8.624657000000001,47.416965000000005,435,"Dietlikon, Brandbachstrasse"
